,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144,C145,C146,C147,C148,C149,C150,C151,C152,C153,C154,C155,C156,C157,C158,C159,C160,C161,C162,C163,C164,C165,C166,C167,STATUS
T338,0,8.122,0,99.431,0,8.15,116.771,603.934,0,600.595,0,8.053,608.985,6.927,0,99.943,0,8.034,115.941,599.414,0,597.496,0,8.062,604.442,22.938,22.313,22.375,22.688,23.5,23.813,1.322,38.476,1995,37.153,1930,1930,1995,-16.998,0.721,28.008,0.175,5.399,-36.236,-34.612,47.499,41.899,1935,38.317,4.791,134.19,29.438,8.24,7.96,47.503,42.069,1935,38.291,4.775,133.755,31.125,-36.934,-33.196,47.501,42.422,1962.5,38.733,4.734,132.593,33.188,8.36,8.08,47.493,42.27,1962.5,38.66,4.743,132.828,34.688,-35.034,-32.037,47.492,43.222,1990,39.172,4.637,129.877,37.063,8.2,7.96,47.499,43.305,1990,39.144,4.635,129.814,38.313,0.77,39.45,2196.4,38.681,2120.35,2110,2200,-16.42,0.706,28.008,0.175,5.399,-33.308,-32.845,47.511,41.052,2115,39.904,4.903,137.325,35.125,8.84,8.56,47.51,41.087,2115,39.879,4.897,137.169,36.5,-32.946,-32.038,47.504,41.73,2155,40.087,4.816,134.88,39.438,8.84,8.56,47.499,41.298,2155,39.985,4.86,136.125,40.938,-32.361,-32.445,47.508,42.274,2195,39.961,4.758,133.274,42.25,8.6,8.28,47.494,42.108,2195,39.905,4.762,133.371,43.438,0,28.008,0.175,5.399,PASS
T339,0,11.692,0,99.649,0,8.265,121.418,594.471,0,600.626,0,8.093,607.292,12.87,0,100.619,0,8.029,123.867,597.511,0,600.159,0,8.075,608.523,22.125,21.813,22.563,22,23.313,23.5,1.747,37.692,1995,35.945,1930,1930,1995,-15.124,0.715,28.006,0.176,5.401,-34.785,-31.574,47.505,41.823,1935,37.579,4.806,134.607,29.438,8.44,8.2,47.498,41.952,1935,37.544,4.784,133.993,31.25,-34.294,-30.563,47.493,41.891,1962.5,38.311,4.786,134.029,33.75,8.48,8.24,47.509,41.988,1962.5,38.259,4.792,134.213,35.25,-32.629,-28.597,47.515,42.233,1990,38.915,4.771,133.611,37.063,8.36,8.16,47.498,42.199,1990,38.868,4.756,133.212,38.25,1.377,38.986,2198.65,37.61,2110,2110,2200,-15.913,0.705,28.006,0.176,5.401,-33.071,-32.671,47.502,39.143,2115,39.089,5.133,143.748,34.75,8.8,8.56,47.505,38.974,2115,39.034,5.157,144.441,36.438,-32.13,-30.847,47.507,39.687,2155,39.512,5.067,141.924,39.063,8.88,8.6,47.496,39.473,2155,39.444,5.082,142.345,40.625,-32.85,-33.267,47.507,40.591,2195,39.515,4.955,138.777,42.188,8.6,8.28,47.495,40.454,2195,39.445,4.958,138.863,43.125,0,28.006,0.17,5.401,PASS
T340,0,0.961,1200,100.356,1611,8.259,109.82,601.142,724,602.273,2173,8.071,610.706,1.046,1200,99.438,1587,8.025,108.728,604.101,769,603.165,2237,8.022,611.566,22.688,23.75,23.375,22.25,24.813,24,1.51,39.945,1995,38.435,1930,1930,1995,-13.862,0.708,28.008,0.176,5.399,-28.516,-29.468,47.491,46.443,1935,38.821,4.314,120.821,30.063,7.4,7.2,47.5,46.755,1935,38.814,4.294,120.261,31.563,-28.223,-29.514,47.502,44.877,1962.5,39.063,4.475,125.353,33.063,7.32,7.12,47.498,45.066,1962.5,39.032,4.453,124.711,34.688,-28.723,-30.18,47.507,41.927,1990,39.097,4.796,134.33,36.125,7.28,7.12,47.496,42.019,1990,39.05,4.773,133.7,37.688,0.658,39.865,2163.55,39.207,2110,2110,2200,-15.283,0.702,28.008,0.176,5.399,-42.623,-40.265,47.5,38.035,2115,40.118,5.278,147.839,34.438,8.64,8.32,47.494,38.204,2115,40.054,5.248,146.991,36,-37.985,-35.873,47.493,38.216,2155,40.367,5.245,146.912,38.5,8.64,8.36,47.493,38.072,2155,40.274,5.265,147.459,39.938,-33.547,-32.728,47.498,38.989,2195,39.908,5.147,144.164,41.938,8.44,8.16,47.498,38.869,2195,39.842,5.163,144.602,42.938,0,28.008,0.17,5.399,PASS
T341,0,8.061,0,99.41,0,8.292,116.995,598.188,0,603.408,0,8.054,611.757,7.959,0,99.426,0,8.002,116.672,597.152,0,598.139,0,8.038,606.401,24.063,24.563,24,24.313,25.125,24.875,1.019,37.627,1995,36.609,1930,1930,1995,-15.736,0.706,28.006,0.175,5.401,-35.433,-32.254,47.488,41.639,1935,37.966,4.809,134.685,30.625,8.6,8.36,47.505,41.494,1935,37.922,4.844,135.672,32.438,-35.599,-31.74,47.51,41.423,1962.5,38.338,4.858,136.066,34.688,8.52,8.28,47.503,41.121,1962.5,38.27,4.886,136.84,36.375,-33.128,-29.325,47.504,42.143,1990,38.802,4.769,133.554,37.938,8.32,8.16,47.49,41.725,1990,38.721,4.801,134.465,39.125,0.753,39.286,2199.1,38.532,2110,2110,2200,-15.239,0.694,28.006,0.175,5.401,-32.861,-30.548,47.513,39.46,2115,40.173,5.103,142.926,35.438,8.92,8.68,47.489,39.126,2115,40.086,5.119,143.37,36.938,-31.885,-29.251,47.507,39.845,2155,40.297,5.048,141.374,40.063,8.56,8.36,47.509,39.602,2155,40.208,5.08,142.285,41.563,-35.642,-32.218,47.509,42.412,2195,40.064,4.745,132.88,43.188,8.04,7.88,47.509,42.114,2195,39.988,4.777,133.801,44.313,0,28.006,0.169,5.401,PASS
T342,0,0.545,1200,100.66,1639,8.339,109.633,600.582,715,598.439,2203,8.126,606.758,0.227,1200,100.352,1692,8.007,108.807,597.67,777,598.224,2200,8.067,606.521,22.625,23.125,22.938,22.438,23.563,23.75,2.051,39.566,1994.35,37.515,1930,1930,1995,-14.206,0.704,28.011,0.166,5.402,-36.632,-33.499,47.501,41.785,1935,38.68,4.806,134.621,28.625,8.52,8.2,47.503,41.544,1935,38.563,4.836,135.448,30,-34.052,-30.127,47.505,42.131,1962.5,39.495,4.771,133.627,31.813,8.36,8.08,47.504,41.772,1962.5,39.394,4.81,134.731,33.125,-31.715,-28.98,47.493,42.94,1990,40.283,4.668,130.751,34.813,8.04,7.8,47.49,42.567,1990,40.18,4.705,131.796,36,0.371,40.334,2169.4,39.963,2110,2110,2200,-16.434,0.697,28.011,0.167,5.402,-35.317,-34.052,47.491,40.763,2115,40.522,4.915,137.682,33.188,7.92,7.6,47.496,40.742,2115,40.435,4.923,137.898,34.625,-39.396,-38.998,47.485,41.077,2155,40.64,4.87,136.427,36.875,8,7.72,47.494,40.766,2155,40.49,4.918,137.753,38.438,-34.959,-38.419,47.49,40.906,2195,39.761,4.896,137.152,40.063,7.92,7.6,47.488,40.801,2195,39.662,4.906,137.435,41.438,0,28.01,0.16,5.402,PASS
T343,0,0.337,1200,100.465,1662,8.301,109.184,597.978,722,601.773,2203,8.081,610.146,0.376,1200,100.291,1662,8.096,108.889,595.31,751,597.713,2157,8.093,605.966,22.625,22.563,22.75,23.313,23.938,23.563,1.427,39.079,1995,37.652,1930,1930,1995,-15.027,0.703,28.007,0.174,5.4,-39.425,-38.087,47.486,40.452,1935,38.451,4.947,138.555,29.875,8.44,8.12,47.504,40.499,1935,38.385,4.962,138.984,31.438,-36.783,-34.106,47.496,41.146,1962.5,39.134,4.876,136.555,33.625,8.48,8.16,47.5,40.836,1962.5,39.021,4.917,137.719,35.125,-34.146,-31.039,47.496,41.897,1990,39.821,4.788,134.094,36.813,8.28,8,47.5,41.496,1990,39.698,4.838,135.515,38.125,0.861,39.867,2200,39.006,2110,2110,2200,-15.29,0.689,28.007,0.174,5.4,-40.407,-38.954,47.506,40.223,2115,39.784,4.999,140,34.688,8.36,8.04,47.486,40.367,2115,39.686,4.957,138.85,36.25,-42.083,-41.247,47.495,40.816,2155,39.816,4.914,137.619,38.875,8.24,7.96,47.507,40.282,2155,39.637,4.993,139.834,40.5,-35.857,-37.465,47.495,41.074,2195,39.604,4.883,136.76,42.313,7.88,7.64,47.513,41.153,2195,39.521,4.893,137.049,43.438,0,28.007,0.168,5.4,PASS
T344,0,1.069,0,99.894,0,8.208,109.33,599.576,0,597.979,0,8.078,606.347,1.461,0,100.636,0,8.023,110.423,598.453,0,600.844,0,8.023,609.154,23.125,24.563,23.563,23.25,24.688,25.063,1.234,39.164,1993.7,37.929,1932.6,1930,1995,-12.916,0.681,28.006,0.177,5.401,-40.638,-38.827,47.515,44.093,1935,38.603,4.569,127.965,29.625,8.4,8.12,47.502,43.952,1935,38.575,4.571,128.017,31.25,-41.009,-36.77,47.486,43.726,1962.5,39.189,4.577,128.18,33.25,8.36,8.08,47.51,44.039,1962.5,39.171,4.57,127.991,34.688,-36.226,-32.101,47.497,44.145,1990,39.741,4.545,127.288,36.438,8.12,7.88,47.502,44.167,1990,39.717,4.548,127.387,37.5,0.224,39.646,2164.9,39.422,2141.05,2110,2200,-14.9,0.683,28.006,0.177,5.401,-37.341,-39.443,47.496,39.732,2115,40.188,5.049,141.415,34.313,8.48,8.16,47.497,39.42,2115,40.113,5.09,142.545,35.938,-39.336,-38.025,47.485,39.716,2155,40.343,5.039,141.115,38.188,8.6,8.28,47.494,39.381,2155,40.219,5.092,142.6,39.625,-36.978,-38.105,47.513,40.907,2195,39.788,4.923,137.873,41.75,8.32,8.04,47.496,40.845,2195,39.714,4.911,137.546,42.875,0,28.006,0.171,5.401,PASS
T345,0,7.7,0,99.811,0,8.281,116.823,602.504,0,601.294,0,8.11,609.745,7.906,0,99.152,0,8.083,116.321,599.393,0,603.04,0,8.047,611.408,22.75,22.625,22.625,22.313,24.313,23.938,1.407,38.805,1995,37.398,1930,1930,1995,-14.319,0.725,28.008,0.175,5.399,-37.757,-35.557,47.499,42.311,1935,38.506,4.744,132.87,28.625,8.4,8.16,47.504,42.007,1935,38.455,4.784,133.984,30.188,-37.311,-33.144,47.508,42.556,1962.5,38.898,4.726,132.381,32.188,8.48,8.24,47.495,42.956,1962.5,38.886,4.669,130.773,33.438,-37.152,-32.684,47.488,43.459,1990,39.628,4.607,129.033,34.938,8.24,8,47.503,43.486,1990,39.591,4.621,129.414,36.25,1.322,39.887,2195.5,38.565,2119.45,2110,2200,-15.577,0.715,28.008,0.175,5.399,-33.698,-31.623,47.509,42.161,2115,40.128,4.771,133.645,32.688,9,8.72,47.501,41.961,2115,40.087,4.785,134.032,34.125,-33.08,-30.821,47.494,42.897,2155,40.452,4.674,130.912,36.313,8.88,8.6,47.491,42.521,2155,40.372,4.712,131.987,37.688,-35.213,-35.122,47.499,43.65,2195,40.489,4.598,128.794,39,8.52,8.2,47.502,43.517,2195,40.431,4.616,129.29,39.813,0,28.008,0.17,5.399,PASS
T346,0,3.236,0,100.316,0,8.287,112.502,605.438,0,600.483,0,8.044,607.93,2.511,0,100.432,0,8.047,111.629,601.833,0,602.52,0,8.037,610.764,20.563,20.875,22.563,22.375,22.75,22.75,0.957,37.839,1995,36.882,1930.97,1930,1995,-15.104,0.708,28.008,0.175,5.399,-33.61,-31.451,47.493,41.048,1935,38.369,4.883,136.782,29.438,8.56,8.32,47.511,40.921,1935,38.303,4.919,137.776,31.313,-32.886,-29.351,47.508,41.908,1962.5,38.487,4.8,134.441,33.25,8.56,8.32,47.507,41.591,1962.5,38.422,4.835,135.434,34.938,-32.186,-28.777,47.511,43.317,1990,39.108,4.646,130.142,36.563,8.16,7.96,47.504,42.787,1990,39.02,4.696,131.543,37.688,0.666,39.183,2195.5,38.516,2119.45,2110,2200,-16.01,0.701,28.008,0.174,5.399,-37.985,-35.023,47.508,40.212,2115,39.734,5.002,140.102,34.75,8.84,8.52,47.5,40.153,2115,39.673,5,140.041,36.438,-36.29,-33.263,47.497,41.02,2155,39.87,4.891,136.995,38.875,8.68,8.4,47.502,40.655,2155,39.775,4.941,138.38,40.25,-38.417,-36.664,47.504,42.464,2195,39.703,4.732,132.542,42.063,8.2,7.92,47.515,42.304,2195,39.634,4.762,133.377,43.125,0,28.008,0.169,5.399,PASS
T347,0,6.909,0,99.417,0,8.284,115.701,597.146,0,598.469,0,8.132,606.853,6.958,0,99.994,0,8.025,116.108,604.718,0,597.934,0,8.059,606.136,22.563,22.625,24.438,22.563,24.313,24.188,1.02,38.047,1995,37.027,1930,1930,1995,-16.63,0.715,28.008,0.176,5.399,-36.891,-34.067,47.494,41.527,1935,38.143,4.828,135.221,30.188,8.52,8.24,47.496,41.293,1935,38.091,4.857,136.041,31.938,-36.27,-31.781,47.502,42.14,1962.5,38.321,4.766,133.497,34.313,8.52,8.28,47.499,41.795,1962.5,38.251,4.803,134.516,35.875,-35.039,-30.503,47.487,42.603,1990,38.968,4.699,131.611,37.75,8.24,8.04,47.499,42.583,1990,38.934,4.714,132.028,39,0.582,39.431,2192.8,38.849,2119.9,2110,2200,-17.034,0.706,28.009,0.176,5.399,-36.39,-34.25,47.503,42.5,2115,40.184,4.727,132.41,35.125,8.92,8.6,47.504,42.467,2115,40.145,4.732,132.549,36.625,-36.392,-33.492,47.512,43.317,2155,40.134,4.648,130.191,39.5,8.76,8.48,47.501,42.951,2155,40.059,4.675,130.953,40.875,-35.415,-35.541,47.499,44.342,2195,39.868,4.527,126.8,42.438,8.32,8.08,47.497,44.079,2195,39.811,4.552,127.494,43.5,0,28.009,0.171,5.399,PASS
T348,0,0.636,0,100.265,0,8.314,109.409,605.089,0,602.647,0,8.101,611.147,1.323,0,100.417,0,8.059,110.209,604.211,0,599.6,0,8.065,607.984,22.188,22,21.938,23.25,23.125,23.563,1.348,39.378,1995,38.03,1930,1930,1995,-15.905,0.707,28.008,0.176,5.399,-37.847,-35.624,47.504,42.936,1935,38.809,4.68,131.087,29.813,8.28,8,47.494,42.655,1935,38.748,4.7,131.652,31.438,-36.226,-32.307,47.505,43.549,1962.5,39.158,4.616,129.285,33.375,8.2,7.96,47.503,43.659,1962.5,39.109,4.602,128.897,34.813,-31.73,-29.316,47.506,44.664,1990,39.926,4.502,126.079,36.25,7.8,7.6,47.513,44.631,1990,39.898,4.512,126.369,37.313,0.241,40.427,2177.5,40.186,2119.9,2110,2200,-17.026,0.697,28.008,0.177,5.399,-36.778,-36.833,47.498,42.102,2115,40.812,4.766,133.494,34.375,8.4,8.12,47.495,41.952,2115,40.738,4.78,133.889,36.188,-42.366,-39.852,47.509,42.518,2155,40.885,4.732,132.527,38.375,8.4,8.12,47.49,42.018,2155,40.766,4.767,133.517,39.75,-37.775,-41.682,47.502,43.453,2195,40.454,4.623,129.489,41.25,8.08,7.8,47.488,43.008,2195,40.375,4.656,130.401,42.188,0,28.008,0.17,5.399,PASS
T349,0,0.709,0,99.994,0,8.223,108.989,596.998,0,603.55,0,8.048,611.917,0.809,0,100.317,0,8.02,109.411,598.973,0,602.568,0,8.017,610.821,22.188,21.5,22.875,23.063,23.063,23.125,1.172,39.59,1993.7,38.418,1930,1930,1995,-14.396,0.692,28.006,0.177,5.401,-40.21,-37.803,47.499,44.309,1935,39.389,4.531,126.891,29.25,8.32,8.04,47.499,44.435,1935,39.339,4.517,126.511,30.813,-39.479,-35.837,47.504,44.135,1962.5,39.817,4.554,127.53,32.688,8.36,8.08,47.487,44.356,1962.5,39.8,4.514,126.412,34.063,-35.632,-32.27,47.495,44.037,1990,40.247,4.555,127.564,35.313,8.12,7.88,47.498,44.363,1990,40.217,4.524,126.701,36.5,0.726,40.164,2200,39.439,2110,2110,2200,-16.712,0.683,28.006,0.177,5.401,-33.761,-30.846,47.493,39.426,2115,40.96,5.085,142.407,33.5,8.84,8.6,47.499,39.191,2115,40.882,5.122,143.441,35,-33.287,-30.569,47.506,39.463,2155,40.993,5.095,142.71,37.313,8.36,8.2,47.505,39.317,2155,40.891,5.112,143.182,38.875,-35.724,-32.873,47.487,42.257,2195,40.655,4.738,132.686,40.563,7.8,7.64,47.487,42.298,2195,40.587,4.732,132.542,41.813,0,28.006,0.171,5.401,PASS
T350,0,9.887,0,99.395,0,8.277,118.508,598.767,0,602.211,0,8.12,610.679,8.661,0,99.816,0,8.063,117.56,598.888,0,598.146,0,8.005,606.389,23.813,22.5,22.563,23.813,23.813,23.813,1.174,38.832,1993.7,37.658,1930,1930,1995,-13.643,0.708,28.006,0.177,5.401,-33.231,-30.01,47.513,43.288,1935,39.182,4.653,130.309,29.938,8.64,8.36,47.487,43.33,1935,39.156,4.62,129.389,31.313,-33.605,-29.79,47.488,43.618,1962.5,39.786,4.591,128.583,33.188,8.52,8.28,47.506,43.417,1962.5,39.736,4.631,129.707,34.563,-32.045,-27.945,47.494,43.892,1990,40.187,4.568,127.927,36,8.24,8.04,47.495,43.896,1990,40.145,4.569,127.968,37.125,0.506,39.476,2198.2,38.97,2141.05,2110,2200,-13.804,0.695,28.006,0.177,5.401,-36.489,-36.367,47.501,39.761,2115,40.128,5.051,141.466,34.375,8.64,8.36,47.493,39.327,2115,40.054,5.097,142.764,35.75,-35.498,-34.323,47.5,40.274,2155,40.211,4.985,139.623,38.438,8.6,8.32,47.51,40.036,2155,40.126,5.027,140.789,39.813,-34.027,-34.493,47.502,41.684,2195,39.766,4.819,134.975,41.688,8.32,8,47.488,41.408,2195,39.71,4.835,135.428,42.75,0,28.006,0.171,5.401,PASS
T351,0,0.779,0,100.618,0,8.271,109.891,599.247,0,602.408,0,8.072,610.821,1.102,0,100.286,0,8.026,109.822,597.596,0,597.871,0,8.011,606.099,23.938,23,24.5,23.75,24.188,24.25,1.778,39.75,1993.7,37.972,1930,1930,1995,-13.581,0.695,28.006,0.175,5.401,-39.59,-39.798,47.496,43.494,1935,38.76,4.612,129.162,29.188,8.32,8.04,47.503,43.679,1935,38.743,4.6,128.823,30.625,-38.569,-39.405,47.498,43.948,1962.5,39.6,4.567,127.9,32.625,8.28,7.96,47.501,43.623,1962.5,39.531,4.604,128.944,34.063,-37.545,-35.221,47.499,43.832,1990,40.289,4.58,128.278,35.563,8.08,7.84,47.499,43.66,1990,40.243,4.598,128.778,36.813,0.713,40.26,2200,39.548,2126.2,2110,2200,-15.369,0.679,28.006,0.175,5.401,-38.455,-34.906,47.487,39.543,2115,40.708,5.062,141.785,33.875,8.8,8.48,47.487,39.371,2115,40.618,5.085,142.402,35.25,-36.177,-32.815,47.512,39.955,2155,40.863,5.039,141.12,37.313,8.44,8.2,47.504,39.402,2155,40.729,5.1,142.838,38.938,-38.919,-36.348,47.488,42.029,2195,40.585,4.765,133.44,40.625,7.88,7.64,47.493,41.973,2195,40.517,4.776,133.752,41.688,0,28.006,0.169,5.401,PASS
T352,0,0.614,1200,100.337,1626,8.306,109.319,595.348,726,601.834,2195,8.091,610.284,0.59,1200,100.309,1632,8.079,109.154,597.472,769,602.253,2167,8.058,610.568,22.375,21.938,22.125,22.5,23.875,23.875,1.855,40.647,1994.35,38.792,1930,1930,1995,-14.559,0.713,28.011,0.165,5.402,-35.059,-37.021,47.496,43.819,1935,39.024,4.577,128.209,29.688,8.16,7.88,47.496,43.68,1935,39,4.592,128.62,31.25,-38.06,-38.63,47.494,43.306,1962.5,39.726,4.629,129.671,33.063,8.04,7.76,47.495,43.025,1962.5,39.632,4.661,130.553,34.563,-36.306,-36.895,47.5,43.002,1990,40.256,4.668,130.774,36.125,7.88,7.6,47.485,42.636,1990,40.155,4.692,131.446,37.438,0.636,40.974,2169.4,40.338,2110,2110,2200,-15.476,0.704,28.011,0.165,5.402,-40.106,-38.212,47.497,40.723,2115,41.029,4.926,137.988,34.25,8.36,8.04,47.5,40.715,2115,40.949,4.93,138.113,35.563,-40.824,-42.002,47.491,41.448,2155,41.29,4.834,135.402,37.625,8.2,7.92,47.491,40.973,2155,41.136,4.889,136.961,38.875,-34.38,-37.626,47.496,41.533,2195,40.472,4.829,135.268,40.625,7.88,7.64,47.486,41.15,2195,40.318,4.863,136.217,42,0,28.011,0.16,5.403,PASS
T353,0,10.484,0,99.55,0,8.299,119.885,605.846,0,598.442,0,8.086,606.838,8.521,0,99.605,0,8.092,117.671,599.604,0,601.705,0,8.068,610.104,22.125,22.5,21.688,22.188,23.625,23.875,0.699,36.838,1995,36.139,1963.8,1930,1995,-17.337,0.723,28.009,0.174,5.399,-33.578,-31.08,47.485,39.523,1935,37.888,5.063,141.799,29.938,8.76,8.48,47.494,39.536,1935,37.835,5.071,142.024,31.813,-31.394,-29.109,47.488,39.941,1962.5,37.919,5.013,140.411,33.938,8.8,8.56,47.502,39.904,1962.5,37.881,5.034,140.987,35.563,-31.067,-27.701,47.493,41.374,1990,38.426,4.845,135.704,37.563,8.52,8.32,47.493,41.366,1990,38.384,4.846,135.718,38.938,0.508,38.858,2195.5,38.35,2119.45,2110,2200,-17.192,0.714,28.009,0.175,5.399,-32.043,-29.456,47.509,40.005,2115,40.014,5.029,140.845,35.063,9.08,8.8,47.5,39.965,2115,39.975,5.024,140.72,36.5,-30.794,-28.068,47.506,40.761,2155,40.037,4.933,138.161,39.125,8.72,8.52,47.507,40.29,2155,39.92,4.991,139.787,40.75,-33.803,-30.7,47.499,42.294,2195,39.824,4.746,132.943,42.688,8.12,7.92,47.486,42.068,2195,39.751,4.757,133.252,43.875,0,28.009,0.169,5.399,PASS
T354,0,5.223,0,99.773,0,8.277,114.112,606.587,0,603.133,0,8.12,611.588,5.335,0,100.471,0,7.993,114.737,605.627,0,598.544,0,8.026,606.108,22.438,21.938,22.125,21.875,23.438,23.375,1.049,37.313,1991.75,36.264,1930,1930,1995,-14.879,0.701,28.006,0.155,5.401,-33.576,-30.264,47.491,41.253,1935,37.682,4.857,136.021,29.625,8.52,8.32,47.494,41.061,1935,37.593,4.883,136.769,31.25,-32.938,-29.331,47.513,41.531,1962.5,38.115,4.849,135.81,33.25,8.36,8.16,47.507,41.599,1962.5,38.071,4.835,135.407,34.813,-30.842,-27.47,47.5,42.529,1990,38.374,4.722,132.238,36.438,8.08,7.88,47.496,42.652,1990,38.34,4.703,131.714,37.875,0.803,40.199,2198.2,39.396,2110,2110,2200,-15.498,0.691,28.006,0.15,5.401,-33.908,-35.414,47.508,39.057,2115,39.901,5.15,144.245,34.375,8.36,8.04,47.491,39.049,2115,39.854,5.131,143.704,36.063,-35.451,-37.54,47.498,39.414,2155,40.362,5.091,142.597,38.563,8.6,8.32,47.486,39.168,2155,40.253,5.11,143.102,40.063,-30.9,-32.105,47.488,40.159,2195,40.127,4.986,139.642,42.688,8.56,8.28,47.497,39.89,2195,40.034,5.03,140.881,44,0,28.006,0.153,5.401,PASS
T355,0,9.77,0,99.894,0,8.317,119.52,599.928,0,601.957,0,8.104,610.438,8.231,0,99.687,0,8.044,117.385,598.545,0,603.152,0,8.062,611.615,24.063,23.625,22.75,22.813,23.813,23.875,1.192,37.432,1995,36.24,1930.97,1930,1995,-15.57,0.725,28.009,0.174,5.399,-34.56,-31.716,47.494,40.621,1935,37.795,4.935,138.234,30.125,8.52,8.28,47.499,40.34,1935,37.749,4.976,139.379,31.813,-33.412,-29.803,47.51,41.346,1962.5,38.05,4.867,136.332,34,8.56,8.32,47.497,41.243,1962.5,37.994,4.865,136.258,35.625,-31.22,-28.05,47.503,42.604,1990,38.783,4.716,132.088,37.438,8.2,8,47.503,42.262,1990,38.727,4.754,133.162,38.813,0.418,39.249,2191,38.83,2119.45,2110,2200,-16.04,0.717,28.009,0.174,5.399,-32.982,-30.322,47.486,39.545,2115,40.448,5.06,141.736,35.063,8.96,8.68,47.486,39.569,2115,40.412,5.058,141.661,36.688,-32.021,-29.484,47.491,40.275,2155,40.404,4.975,139.347,39.438,8.68,8.44,47.505,39.939,2155,40.3,5.033,140.959,41.125,-35.639,-32.52,47.496,41.839,2195,40.094,4.794,134.271,42.813,8.12,7.88,47.495,41.493,2195,40.002,4.833,135.366,43.938,0,28.008,0.168,5.399,PASS
T356,0,1.232,0,100.164,0,8.259,109.981,599.515,0,598.752,0,8.083,607.103,1.07,0,100.551,0,8.062,109.947,599.826,0,603.237,0,8.05,611.6,22.563,22.688,22.813,23.438,23.938,23.688,0.855,38.921,1995,38.066,1950.8,1930,1995,-14.176,0.703,28.008,0.177,5.399,-40.942,-37.384,47.486,42.574,1935,38.793,4.7,131.652,29.5,8.4,8.08,47.5,42.655,1935,38.758,4.707,131.825,31.125,-38.505,-33.017,47.512,43.136,1962.5,38.893,4.667,130.728,33.563,8.36,8.08,47.487,42.717,1962.5,38.809,4.686,131.248,35,-32.677,-29.618,47.487,43.752,1990,39.472,4.575,128.142,36.875,7.96,7.76,47.504,43.801,1990,39.45,4.588,128.516,37.875,0.447,40.691,2195.5,40.244,2116.3,2110,2200,-15.381,0.698,28.008,0.177,5.399,-32.984,-35.391,47.486,43.322,2115,40.931,4.619,129.374,34,8.48,8.12,47.486,42.382,2115,40.831,4.722,132.246,35.375,-38.558,-39.467,47.485,43.078,2155,41.064,4.645,130.091,37.5,8.16,7.88,47.491,43.067,2155,40.925,4.652,130.308,38.938,-35.014,-37.554,47.498,44.305,2195,40.638,4.53,126.869,40.563,7.76,7.52,47.493,43.902,2195,40.52,4.566,127.884,41.688,0,28.008,0.171,5.399,PASS
T357,0,9.752,0,99.489,0,8.317,119.015,600.434,0,603.879,0,8.101,612.4,11.357,0,99.721,0,8.044,120.946,604.757,0,600.774,0,8.016,608.617,22.688,22.375,22.375,22.438,23.188,23.688,0.472,37.593,1994.03,37.12,1966.07,1930,1995,-15.717,0.728,28.008,0.172,5.399,-33.847,-31.615,47.493,41.744,1935,38.628,4.802,134.49,29.875,8.72,8.48,47.497,41.496,1935,38.558,4.835,135.42,31.688,-32.207,-29.195,47.489,42.872,1962.5,38.622,4.671,130.826,33.688,8.68,8.44,47.505,42.616,1962.5,38.556,4.717,132.117,35.125,-31.734,-28.399,47.502,43.879,1990,38.843,4.577,128.209,36.625,8.28,8.08,47.508,43.707,1990,38.802,4.602,128.887,37.875,0.389,39.336,2192.8,38.947,2120.8,2110,2200,-16.238,0.717,28.008,0.172,5.399,-36.419,-36.368,47.504,40.626,2115,39.959,4.946,138.536,34.75,8.72,8.4,47.492,40.502,2115,39.904,4.948,138.584,36.438,-35.298,-34.207,47.503,40.667,2155,40.022,4.94,138.369,38.625,8.88,8.56,47.503,40.778,2155,39.965,4.927,137.996,40.25,-33.406,-33.59,47.488,41.323,2195,39.819,4.845,135.707,42.313,8.64,8.36,47.498,41.325,2195,39.766,4.856,136.005,43.438,0,28.008,0.166,5.399,PASS
